"Pep"	"Molec"	"What"	"Value"	"DKL"	"tg"	"ba"
"pep5"	"DR_15"	"Mean"	0.152232190174626	0.974362871713045	0	1
"pep5"	"DR_15"	"Mode"	0.0833371746643976	0.974362871713045	0	1
"pep5"	"DR_15"	"Median"	0.137000078643876	0.974362871713045	0	1
"pep5"	"DR_13"	"Mean"	0.236713585548316	0.544647432668204	NA	0
"pep5"	"DR_13"	"Mode"	0.16260207652691	0.544647432668204	NA	0
"pep5"	"DR_13"	"Median"	0.212254225720615	0.544647432668204	NA	0
"pep5"	"DR_17"	"Mean"	0.247081758108756	0.568628136073137	NA	NA
"pep5"	"DR_17"	"Mode"	0.206241947876535	0.568628136073137	NA	NA
"pep5"	"DR_17"	"Median"	0.235160099605668	0.568628136073137	NA	NA
"pep5"	"DR_14"	"Mean"	0.149151636099869	0.906611171301247	NA	NA
"pep5"	"DR_14"	"Mode"	0.00254384719132096	0.906611171301247	NA	NA
"pep5"	"DR_14"	"Median"	0.115695967276673	0.906611171301247	NA	NA
"pep5"	"DR_7"	"Mean"	0.0846810498732523	1.45488455661788	NA	0
"pep5"	"DR_7"	"Mode"	0.0018917056980207	1.45488455661788	NA	0
"pep5"	"DR_7"	"Median"	0.0644732431148734	1.45488455661788	NA	0
"pep5"	"DR_8"	"Mean"	0.296377287837787	0.261200950115911	NA	NA
"pep5"	"DR_8"	"Mode"	0.0397280471759578	0.261200950115911	NA	NA
"pep5"	"DR_8"	"Median"	0.231691943335003	0.261200950115911	NA	NA
"pep5"	"DR_12"	"Mean"	0.226246165307333	0.504208405257152	NA	NA
"pep5"	"DR_12"	"Mode"	0.0139022468112476	0.504208405257152	NA	NA
"pep5"	"DR_12"	"Median"	0.181601753293374	0.504208405257152	NA	NA
"pep5"	"DR_10"	"Mean"	0.311449105198661	0.241795389198662	NA	NA
"pep5"	"DR_10"	"Mode"	0.00854288270368972	0.241795389198662	NA	NA
"pep5"	"DR_10"	"Median"	0.272851561164593	0.241795389198662	NA	NA
"pep5"	"DR_9"	"Mean"	0.266990543824854	0.373210046370624	NA	0
"pep5"	"DR_9"	"Mode"	0.00283628642765004	0.373210046370624	NA	0
"pep5"	"DR_9"	"Median"	0.23104141296359	0.373210046370624	NA	0
"pep5"	"DQ_6"	"Mean"	0.133813703310282	1.09697067708813	NA	NA
"pep5"	"DQ_6"	"Mode"	0.0743997913035214	1.09697067708813	NA	NA
"pep5"	"DQ_6"	"Median"	0.119182165921251	1.09697067708813	NA	NA
"pep5"	"DQ_2"	"Mean"	0.0946725649352978	1.36567456256034	NA	NA
"pep5"	"DQ_2"	"Mode"	0.00334766013072573	1.36567456256034	NA	NA
"pep5"	"DQ_2"	"Median"	0.0758855826045808	1.36567456256034	NA	NA
"pep5"	"DQ_5"	"Mean"	0.0527142680291991	1.92181409249825	NA	NA
"pep5"	"DQ_5"	"Mode"	0.00440261809896536	1.92181409249825	NA	NA
"pep5"	"DQ_5"	"Median"	0.0383877168375213	1.92181409249825	NA	NA
"pep5"	"DQ_7"	"Mean"	0.0910815202334916	1.39243270951516	NA	NA
"pep5"	"DQ_7"	"Mode"	0.000658619519683414	1.39243270951516	NA	NA
"pep5"	"DQ_7"	"Median"	0.0708099520561789	1.39243270951516	NA	NA
"pep5"	"DQ_8"	"Mean"	0.152481507050921	0.940609603736538	NA	NA
"pep5"	"DQ_8"	"Mode"	0.107700634325803	0.940609603736538	NA	NA
"pep5"	"DQ_8"	"Median"	0.130500535994778	0.940609603736538	NA	NA
"pep5"	"DQ_9"	"Mean"	0.140790734979672	0.951623643137384	NA	NA
"pep5"	"DQ_9"	"Mode"	0.0138420512226721	0.951623643137384	NA	NA
"pep5"	"DQ_9"	"Median"	0.106517616405939	0.951623643137384	NA	NA
"pep6"	"DR_11"	"Mean"	0.21071958711197	0.601078071999108	NA	0
"pep6"	"DR_11"	"Mode"	0.0598169466855305	0.601078071999108	NA	0
"pep6"	"DR_11"	"Median"	0.177771644868515	0.601078071999108	NA	0
"pep6"	"DR_1"	"Mean"	0.0604932058349742	1.78062050932758	0	1
"pep6"	"DR_1"	"Mode"	0.00093538632387751	1.78062050932758	0	1
"pep6"	"DR_1"	"Median"	0.043312763078949	1.78062050932758	0	1
"pep6"	"DR_4"	"Mean"	0.0930145777616303	1.39488103067098	1	1
"pep6"	"DR_4"	"Mode"	0.00653811519144685	1.39488103067098	1	1
"pep6"	"DR_4"	"Median"	0.0761955475043176	1.39488103067098	1	1
"pep6"	"DR_15"	"Mean"	0.0594708726290235	1.80387622136372	0	1
"pep6"	"DR_15"	"Mode"	0.000536286411854127	1.80387622136372	0	1
"pep6"	"DR_15"	"Median"	0.0442036326416231	1.80387622136372	0	1
"pep6"	"DR_13"	"Mean"	0.24517702838645	0.5305114939842	NA	0
"pep6"	"DR_13"	"Mode"	0.144808777052296	0.5305114939842	NA	0
"pep6"	"DR_13"	"Median"	0.224001811415518	0.5305114939842	NA	0
"pep6"	"DR_17"	"Mean"	0.148240838344093	0.943223417581613	NA	NA
"pep6"	"DR_17"	"Mode"	0.0308036934126457	0.943223417581613	NA	NA
"pep6"	"DR_17"	"Median"	0.124471939510705	0.943223417581613	NA	NA
"pep6"	"DR_14"	"Mean"	0.223898244203386	0.605742320428654	NA	NA
"pep6"	"DR_14"	"Mode"	0.12382698916211	0.605742320428654	NA	NA
"pep6"	"DR_14"	"Median"	0.204440000124292	0.605742320428654	NA	NA
"pep6"	"DR_7"	"Mean"	0.149543175717334	0.934589694919384	NA	1
"pep6"	"DR_7"	"Mode"	0.00776216176846193	0.934589694919384	NA	1
"pep6"	"DR_7"	"Median"	0.12472326353662	0.934589694919384	NA	1
"pep6"	"DR_8"	"Mean"	0.328451708266082	0.19873975239193	NA	NA
"pep6"	"DR_8"	"Mode"	0.0204720568149917	0.19873975239193	NA	NA
"pep6"	"DR_8"	"Median"	0.287090550283766	0.19873975239193	NA	NA
"pep6"	"DR_12"	"Mean"	0.216501108909087	0.550031071598361	NA	NA
"pep6"	"DR_12"	"Mode"	0.00290660803535165	0.550031071598361	NA	NA
"pep6"	"DR_12"	"Median"	0.173837338880868	0.550031071598361	NA	NA
"pep6"	"DR_10"	"Mean"	0.296449576619418	0.299230902549664	NA	NA
"pep6"	"DR_10"	"Mode"	0.0482414859023349	0.299230902549664	NA	NA
"pep6"	"DR_10"	"Median"	0.263074204342661	0.299230902549664	NA	NA
"pep6"	"DR_9"	"Mean"	0.274598172178716	0.329447089079647	NA	1
"pep6"	"DR_9"	"Mode"	0.00456053766391646	0.329447089079647	NA	1
"pep6"	"DR_9"	"Median"	0.227588388309888	0.329447089079647	NA	1
"pep6"	"DQ_6"	"Mean"	0.0547501204032814	1.88835968954716	NA	NA
"pep6"	"DQ_6"	"Mode"	0.00194473905025315	1.88835968954716	NA	NA
"pep6"	"DQ_6"	"Median"	0.0409908500628853	1.88835968954716	NA	NA
"pep6"	"DQ_2"	"Mean"	0.102016889882354	1.29418038908109	NA	NA
"pep6"	"DQ_2"	"Mode"	0.00562653480459028	1.29418038908109	NA	NA
"pep6"	"DQ_2"	"Median"	0.0820873258894919	1.29418038908109	NA	NA
"pep6"	"DQ_5"	"Mean"	0.0491463709746556	1.99453872197472	NA	NA
"pep6"	"DQ_5"	"Mode"	0.00307489445697472	1.99453872197472	NA	NA
"pep6"	"DQ_5"	"Median"	0.0357697549784446	1.99453872197472	NA	NA
"pep6"	"DQ_7"	"Mean"	0.0948552703209332	1.35183520071902	NA	NA
"pep6"	"DQ_7"	"Mode"	0.00365508424398056	1.35183520071902	NA	NA
"pep6"	"DQ_7"	"Median"	0.0731175880371786	1.35183520071902	NA	NA
"pep6"	"DQ_8"	"Mean"	0.145283901615452	1.00831119199947	NA	NA
"pep6"	"DQ_8"	"Mode"	0.0910409726022681	1.00831119199947	NA	NA
"pep6"	"DQ_8"	"Median"	0.127029759489328	1.00831119199947	NA	NA
"pep6"	"DQ_9"	"Mean"	0.205070572462284	0.627235462164168	NA	NA
"pep6"	"DQ_9"	"Mode"	0.0304987517074895	0.627235462164168	NA	NA
"pep6"	"DQ_9"	"Median"	0.170064242155304	0.627235462164168	NA	NA
"pep7"	"DR_11"	"Mean"	0.110689881959524	1.19332605240326	NA	0
"pep7"	"DR_11"	"Mode"	0.000476072557879639	1.19332605240326	NA	0
"pep7"	"DR_11"	"Median"	0.0835804623669658	1.19332605240326	NA	0
